gene_enco drug_enco Class
3215 3215 0
3141 3141 0
2014 2014 0
1784 1784 0
2451 2451 0
3315 3315 0
2580 2580 0
2575 2575 0
2093 2093 0
3215 3215 0
5038 5038 0
2529 2529 0
2406 2406 0
2284 2284 0
3526 3526 0
8430 8430 0
3902 3902 0
2942 2942 0
4220 4220 0
3074 3074 1
1992 1992 0
2273 2273 0
4938 4938 0
5739 5739 0
6143 6143 0
13111 13111 0
5774 5774 0
1805 1805 0
2183 2183 0
1737 1737 1
2988 2988 0
4103 4103 0
2314 2314 0
5307 5307 0
1872 1872 0
2625 2625 0
2580 2580 0
1837 1837 1
4785 4785 0
5718 5718 0
9069 9069 0
8079 8079 0
4163 4163 1
4559 4559 0
2093 2093 0
3411 3411 0
3965 3965 0
3062 3062 0
9654 9654 0
5994 5994 0
5336 5336 0
2406 2406 0
1914 1914 1
9284 9284 0
5542 5542 0
4617 4617 1
3500 3500 0
2439 2439 0
2351 2351 0
6507 6507 0
3327 3327 0
6867 6867 0
3811 3811 0
3584 3584 0
2970 2970 0
4938 4938 0
1805 1805 0
10443 10443 0
2232 2232 0
2565 2565 0
2168 2168 0
3518 3518 0
8128 8128 0
4112 4112 0
2580 2580 0
4616 4616 0
1837 1837 0
5900 5900 0
6610 6610 1
4826 4826 0
4832 4832 0
2512 2512 0
2987 2987 0
3726 3726 0
10145 10145 0
1714 1714 0
3956 3956 0
2454 2454 0
2063 2063 0
3094 3094 0
3062 3062 0
5568 5568 0
11651 11651 0
11371 11371 0
5987 5987 0
4117 4117 0
3002 3002 0
2391 2391 0
7152 7152 0
3215 3215 0
2014 2014 0
2439 2439 0
1737 1737 0
2168 2168 0
4733 4733 0
2987 2987 0
4034 4034 0
2347 2347 1
3215 3215 0
2439 2439 0
1737 1737 0
2168 2168 0
8079 8079 0
2987 2987 0
4034 4034 0
2347 2347 1
2529 2529 0
1914 1914 0
1796 1796 0
2043 2043 0
2439 2439 0
1784 1784 1
4220 4220 0
3327 3327 0
5372 5372 0
3811 3811 0
3584 3584 0
3074 3074 0
2970 2970 0
3315 3315 0
1737 1737 1
2988 2988 0
9786 9786 0
2168 2168 0
6200 6200 0
4733 4733 0
2575 2575 0
2512 2512 1
2063 2063 0
2597 2597 1
2347 2347 0
9651 9651 0
2505 2505 0
9339 9339 0
5038 5038 0
2529 2529 0
15789 15789 0
3526 3526 0
1914 1914 0
8430 8430 0
2133 2133 0
4617 4617 0
5138 5138 0
3141 3141 0
1796 1796 1
5588 5588 0
4187 4187 0
3902 3902 0
2043 2043 0
2439 2439 0
2351 2351 1
1784 1784 0
2384 2384 0
6507 6507 0
4220 4220 0
6867 6867 0
5372 5372 0
3811 3811 0
1826 1826 0
3584 3584 0
15318 15318 0
2273 2273 0
1805 1805 0
2988 2988 0
3283 3283 0
3022 3022 0
10592 10592 0
4103 4103 0
2232 2232 0
2314 2314 0
10867 10867 0
3309 3309 0
1872 1872 1
2625 2625 1
4112 4112 0
8584 8584 0
2580 2580 0
3250 3250 0
2233 2233 0
4616 4616 0
1837 1837 0
5719 5719 0
4826 4826 0
5991 5991 0
4832 4832 0
3088 3088 0
9069 9069 0
2218 2218 0
7338 7338 0
2512 2512 0
1714 1714 0
3384 3384 0
3956 3956 0
3034 3034 0
2983 2983 0
9258 9258 0
2454 2454 0
5378 5378 0
8029 8029 0
6130 6130 0
2825 2825 0
4383 4383 0
5687 5687 0
9287 9287 0
3772 3772 0
6959 6959 0
4034 4034 0
3094 3094 0
2347 2347 1
5568 5568 0
10676 10676 0
12983 12983 0
4688 4688 0
11651 11651 0
12301 12301 0
5994 5994 0
4417 4417 0
8888 8888 0
6766 6766 0
9151 9151 0
2478 2478 0
7376 7376 0
6615 6615 0
3645 3645 0
5987 5987 0
2511 2511 0
14487 14487 0
7880 7880 0
4258 4258 0
3417 3417 0
9400 9400 0
8776 8776 0
3114 3114 0
11012 11012 0
9651 9651 0
5038 5038 0
2529 2529 0
2406 2406 0
5542 5542 0
1796 1796 0
2014 2014 0
2043 2043 0
2439 2439 0
1784 1784 1
3327 3327 0
6867 6867 0
3811 3811 0
3584 3584 0
3074 3074 1
1992 1992 0
1737 1737 1
2988 2988 0
2168 2168 0
8128 8128 0
2580 2580 0
1837 1837 1
5969 5969 1
5900 5900 1
4733 4733 0
2512 2512 1
2597 2597 1
3008 3008 0
2347 2347 0
3113 3113 0
4092 4092 0
3002 3002 0
9651 9651 0
2505 2505 0
2529 2529 0
2406 2406 0
2284 2284 0
3526 3526 0
1914 1914 0
11392 11392 0
8430 8430 0
2133 2133 0
4617 4617 0
5138 5138 0
3141 3141 0
2014 2014 0
5588 5588 0
3902 3902 0
2043 2043 0
2439 2439 0
6507 6507 0
4220 4220 0
3327 3327 0
6867 6867 0
5372 5372 0
3584 3584 0
2451 2451 0
15318 15318 0
2273 2273 0
1805 1805 0
1737 1737 0
2967 2967 0
2988 2988 0
3283 3283 0
3022 3022 0
4103 4103 0
2232 2232 0
2314 2314 0
9786 9786 0
2168 2168 0
8128 8128 0
1872 1872 0
2625 2625 0
4112 4112 0
2580 2580 0
5719 5719 0
3858 3858 1
6610 6610 0
5991 5991 0
19083 19083 0
7338 7338 0
1714 1714 0
3384 3384 0
2093 2093 0
2983 2983 0
