Input	Input_source	Output	Output_source
10125830	PubChem CID	DB07078	DrugBank
16046126	PubChem CID	DB06888	DrugBank
17754396	PubChem CID	DB06932	DrugBank
24856363	PubChem CID	DB07835	DrugBank
10089048	PubChem CID	DB07811	DrugBank
449087	PubChem CID	DB06944	DrugBank
11987888	PubChem CID	DB08590	DrugBank
6914613	PubChem CID	DB07107	DrugBank
448042	PubChem CID	DB08756	DrugBank
5289419	PubChem CID	DB03428	DrugBank
10389239	PubChem CID	DB08358	DrugBank
11992146	PubChem CID	DB07728	DrugBank
5164	PubChem CID	DB04338	DrugBank
1400	PubChem CID	DB01809	DrugBank
9934347	PubChem CID	DB07460	DrugBank
24995524	PubChem CID	DB07361	DrugBank
5005498	PubChem CID	DB04014	DrugBank
16757525	PubChem CID	DB07149	DrugBank
8515	PubChem CID	DB01782	DrugBank
24905142	PubChem CID	DB08052	DrugBank
24905143	PubChem CID	DB07335	DrugBank
24905153	PubChem CID	DB08053	DrugBank
24905152	PubChem CID	DB08054	DrugBank
24905144	PubChem CID	DB08300	DrugBank
3973	PubChem CID	DB02656	DrugBank
15295578	PubChem CID	DB07234	DrugBank
449241	PubChem CID	DB07995	DrugBank
448014	PubChem CID	DB01950	DrugBank
7595	PubChem CID	DB07496	DrugBank
3547	PubChem CID	DB08162	DrugBank
447873	PubChem CID	DB02388	DrugBank
5281855	PubChem CID	DB08468	DrugBank
5281855	PubChem CID	DB08846	DrugBank
5494425	PubChem CID	DB04716	DrugBank
4369491	PubChem CID	DB04608	DrugBank
16058637	PubChem CID	DB07268	DrugBank
25011729	PubChem CID	DB07253	DrugBank
4477	PubChem CID	DB06803	DrugBank
447961	PubChem CID	DB02833	DrugBank
447721	PubChem CID	DB01761	DrugBank
11524144	PubChem CID	DB08597	DrugBank
5280953	PubChem CID	DB07919	DrugBank
449240	PubChem CID	DB07996	DrugBank
445840	PubChem CID	DB04186	DrugBank
3540	PubChem CID	DB07997	DrugBank
3815	PubChem CID	DB08036	DrugBank
5361	PubChem CID	DB04786	DrugBank
4199	PubChem CID	DB00805	DrugBank
5379	PubChem CID	DB01044	DrugBank
5288018	PubChem CID	DB07622	DrugBank
456214	PubChem CID	DB04751	DrugBank
5280961	PubChem CID	DB01645	DrugBank
4030	PubChem CID	DB00643	DrugBank
9797919	PubChem CID	DB07288	DrugBank
2519	PubChem CID	DB00201	DrugBank
35370	PubChem CID	DB00495	DrugBank
16043304	PubChem CID	DB07235	DrugBank
5330812	PubChem CID	DB07664	DrugBank
4592	PubChem CID	DB02116	DrugBank
5280343	PubChem CID	DB04216	DrugBank
448991	PubChem CID	DB02733	DrugBank
2396	PubChem CID	DB03777	DrugBank
